epoch,wer,cer
1,1.0,0.8261970593555389
2,0.8449053201082056,0.6159332282487919
3,0.5992385532511773,0.38212873717667123
4,0.4528604348261697,0.2823845577405101
5,0.3291253381424707,0.21083232124861107
6,0.291754333233143,0.1869557352903176
7,0.25748922953611864,0.16442285330370293
8,0.24216010419797615,0.15700664099847542
9,0.23474601743312293,0.15235535801958708
10,0.21340547039374813,0.14364712266466834
11,0.21200280533012725,0.13863407323186647
12,0.20168319807634505,0.1319155533734722
13,0.19166416190762448,0.12899558128117006
14,0.1901613064823164,0.12814284606837387
15,0.18535216912133054,0.12545543812501614
16,0.18344855224927362,0.12444766014625701
17,0.18004207995190863,0.12266466833768315
18,0.18244664863240156,0.12377580816041758
19,0.1832481715258992,0.12367244631644228
20,0.1828474100791504,0.12328483940153492
