epoch,wer,cer
1,0.998998096383128,0.8207964030078296
2,0.8506161707243763,0.6387761957673325
3,0.6429215509467989,0.3926716452621515
4,0.4429415890191364,0.26620842915837617
5,0.3539725478408977,0.2125636321351973
6,0.31940687305881177,0.1940360216026254
7,0.2934575693818255,0.1771363601126644
8,0.2617974150886685,0.1621488927362464
9,0.24205991383628894,0.15532701103387683
10,0.23705039575192866,0.14987467376417996
11,0.22342450656246868,0.1426393446859092
12,0.211401663160004,0.13424119486291636
13,0.2149083258190562,0.13721284787720614
14,0.20468890892696123,0.1309594563167007
15,0.20488928965033565,0.13090777539471304
16,0.20569081254383328,0.12899558128117006
17,0.1969742510770464,0.12656657794775059
18,0.19527101492836388,0.12506783121010878
19,0.19617272818354875,0.12589472596191115
20,0.19456968239655345,0.12460270291221995
