epoch,wer,cer
1,0.995090672277327,0.797979275950283
2,0.5568580302574893,0.3190004909687589
3,0.29385833082857427,0.16744618723998037
4,0.21049994990481916,0.12770355823147886
5,0.1762348462077948,0.1096669164577896
6,0.15739905821060013,0.09690172872684048
7,0.15619677387035366,0.09643660042895165
8,0.14206993287245767,0.09165611514509418
9,0.13084861236349063,0.08555776635055169
10,0.12874461476805932,0.08361973177601488
11,0.13165013525698827,0.08501511666968138
12,0.1234345255986374,0.08139745213054601
13,0.11892595932271316,0.0811648879816016
14,0.11852519787596433,0.08090648337166335
15,0.12012824366295963,0.07969198170495362
16,0.11732291353571786,0.07979534354892891
17,0.11732291353571786,0.08090648337166335
18,0.11942691113114919,0.08155249489650895
19,0.11992786293958521,0.0817075376624719
20,0.1196272918545236,0.08163001627949043
