epoch,wer,cer
1,0.9794609758541228,0.7741543709139771
2,0.5763951507864944,0.3038838212873718
3,0.2834385332131049,0.1533372955373524
4,0.19376815950305581,0.11310369776996822
5,0.16771866546438233,0.10287087521641386
6,0.1459773569782587,0.08902038812372413
7,0.13285241959723473,0.08023463138582393
8,0.13245165815048593,0.08165585674048426
9,0.11602043883378418,0.0720690457117755
10,0.11511872557859934,0.07095790588904106
11,0.10960825568580303,0.06925243546344867
12,0.10630197375012523,0.06772784826481304
13,0.10850616170724377,0.06842554071164629
14,0.10620178338843803,0.06640998475412802
15,0.10459873760144274,0.065531409080338
16,0.1039975954313195,0.06609989922220212
17,0.10449854723975553,0.06620326106617742
18,0.1038974050696323,0.06635830383214036
19,0.10429816651638113,0.0660740587612083
20,0.10409778579300671,0.06620326106617742
