epoch,wer,cer
1,1.0,0.8765084369105145
2,0.9447951107103497,0.7356262435721853
3,0.8023244163911432,0.5539936432465955
4,0.5709848712553852,0.34628801777823714
5,0.4509568179541128,0.268585751569808
6,0.39374812143071836,0.2540117315692912
7,0.3306281935677788,0.20773146592935218
8,0.306382126039475,0.19514716142535982
9,0.28584310189359785,0.1811933124886948
10,0.2725177837891995,0.16948758365849248
11,0.2588918945997395,0.1632858730199747
12,0.2511772367498247,0.15661903408356806
13,0.24566676685702835,0.1556887774877904
14,0.23314297164612766,0.14840176748753198
15,0.22673078849814648,0.1447841029483966
16,0.22592926560464882,0.14385384635261894
17,0.22041879571185252,0.14196749270006978
18,0.221621080052099,0.1423034186929895
19,0.22031860535016531,0.13964185121062558
20,0.21721270413786195,0.13873743507584174
