epoch,wer,cer
1,0.9743512674080753,0.790330499496111
2,0.9221520889690412,0.6750303625416677
3,0.6854022643021741,0.42411948629163543
4,0.44424406372107006,0.25954159022196954
5,0.32251277427111513,0.19039251660249618
6,0.27211702234245067,0.16411276777177705
7,0.22502755234946398,0.1390992015297553
8,0.2151087065424306,0.13406031163595958
9,0.1919647329926861,0.1195121320964366
10,0.1781384630798517,0.11284529316002997
11,0.1811441739304679,0.1159719889402827
12,0.16511371606051498,0.10493811209591979
13,0.1673179040176335,0.10362024858523476
14,0.15619677387035366,0.0993824129822476
15,0.1530908726580503,0.09834879454249464
16,0.15248973048792705,0.09741853794671697
17,0.14868249674381326,0.09527377968422956
18,0.14617773770163311,0.0947828109253469
19,0.1444745015529506,0.09364583064161865
20,0.14327221721270414,0.09227628620894597
