epoch,wer,cer
1,1.0,0.8822450192511434
2,1.0,0.8822450192511434
3,1.0,0.8822708597121373
4,1.0,0.8822450192511434
5,1.0,0.8822708597121373
6,1.0,0.8822450192511434
7,1.0,0.8822708597121373
8,1.0,0.862916354427763
9,0.9296663660955816,0.7374609163027468
10,0.7640516982266305,0.5603503966510762
11,0.6436228834786094,0.4582288948034833
12,0.563570784490532,0.3895449494818988
13,0.5370203386434225,0.3701904441975245
14,0.503656948201583,0.34582288948034834
15,0.4717964131850516,0.32261815550789424
16,0.4580703336339044,0.31437504845086434
17,0.4491533914437431,0.3075790072094886
18,0.43713054804127843,0.30096384919506963
19,0.42320408776675683,0.2892839608258611
20,0.4282136058511171,0.2954339905423913
