epoch,wer,cer
1,1.0,0.8822450192511434
2,0.9982967638513175,0.8463526189307218
3,0.9568179541128143,0.8207188816248482
4,0.9551147179641318,0.7614150236440218
5,0.8969041178238654,0.6890100519393266
6,0.8278729586213807,0.6184914338871805
7,0.7930067127542331,0.5915915139926097
8,0.7040376715759944,0.5113052016847981
9,0.6414186955214908,0.4552572417891935
10,0.5817052399559163,0.41975244838367914
11,0.5848111411682196,0.40678053696477945
12,0.5366195771966736,0.3702162846585183
13,0.5109708446047491,0.35429856068632265
14,0.5025548542230237,0.34481511150158917
15,0.47921049994990483,0.32881986614641207
16,0.46598537220719366,0.31990490710354275
17,0.4588718565274021,0.31701077547223444
18,0.45686804929365793,0.3154086668906173
19,0.45646728784690915,0.3125920566422905
20,0.45496443242160106,0.31220444972738315
