epoch,wer,cer
1,0.9995992385532512,0.813535233468565
2,0.8707544334235047,0.6362438305899377
3,0.613766155695822,0.38375668621928216
4,0.40767458170523996,0.25693170366159335
5,0.33393447550345656,0.20964366004289517
6,0.2855425308085362,0.180133853587948
7,0.2658050295561567,0.17108969224010956
8,0.24877266806933174,0.1608310292255614
9,0.23494639815649734,0.14891857670740846
10,0.21941689209498047,0.14269102560789684
11,0.20659252579901813,0.13390526886999665
12,0.19997996192766257,0.1316313083025401
13,0.19066225829075242,0.12646321610377528
14,0.1864542630998898,0.1279878033024109
15,0.18515178839795612,0.12514535259309026
16,0.18094379320709347,0.12382748908240523
17,0.18224626790902715,0.12318147755755962
18,0.17863941488828775,0.12152768805395488
19,0.179741508866847,0.12217369957880049
20,0.17793808235647732,0.12139848574898576
