epoch,wer,cer
1,1.0,0.850435411767746
2,0.9784590722372508,0.7571771880410346
3,0.7621480813545737,0.5088761983513785
4,0.5283037771766356,0.3419468203312747
5,0.40737401062017836,0.2521770588387297
6,0.3416491333533714,0.20995374557482105
7,0.29135357178639415,0.18346727305615132
8,0.2886484320208396,0.17620610351688673
9,0.25097685602645026,0.1577560143672963
10,0.22833383428514176,0.14579188092715575
11,0.2202184149884781,0.1397452130546009
12,0.21781384630798517,0.14008113904752062
13,0.21280432822362488,0.13736789064316907
14,0.2043883378418996,0.1335435024160831
15,0.19757539324716963,0.12865965528825035
16,0.1955715860134255,0.12847877206129357
17,0.19426911131149183,0.12881469805421328
18,0.1951708245666767,0.12961575234502185
19,0.19416892094980462,0.12853045298328122
20,0.19256587516280935,0.12793612238042326
