epoch,wer,cer
1,0.9997996192766256,0.8543373213778134
2,0.9738503155996393,0.7914674797798392
3,0.8821761346558461,0.6685444068322179
4,0.7738703536719768,0.5276622134938888
5,0.5572587917042381,0.3557456265019768
6,0.4658851818455065,0.2926173802940644
7,0.38252680092175134,0.24295201426393448
8,0.34235046588518186,0.22010904674539394
9,0.33072838392946596,0.20672368795059304
10,0.2964632802324416,0.1922271893330577
11,0.2748221621080052,0.17708467919067677
12,0.26069532111010923,0.17039199979327632
13,0.2533814247069432,0.16400940592780175
14,0.246468289750526,0.16196800950928963
15,0.23895401262398558,0.15543037287785214
16,0.23825268009217512,0.1539057856792165
17,0.22402564873259193,0.14775575596268636
18,0.23174030658250677,0.1495904286932479
19,0.22602945596633603,0.1457402000051681
20,0.2254283137962128,0.14698054213287165
