epoch,wer,cer
1,1.0,0.8551642161296158
2,0.9545135757940086,0.7897878498152408
3,0.8570283538723574,0.6001447065815654
4,0.591824466486324,0.3782268275666038
5,0.4628794709948903,0.2918163260032559
6,0.3893397455164813,0.2520995374557482
7,0.36208796713756136,0.23879170004392877
8,0.3231139164412384,0.21682730819917828
9,0.28934976455265005,0.1948887568154216
10,0.278128444043683,0.18899713170882967
11,0.28043282236248873,0.19357089330473656
12,0.2570884680893698,0.1747848781622264
13,0.25278028253681994,0.1718907465309181
14,0.24857228734595732,0.17046952117625777
15,0.24586714758040276,0.1699268714953875
16,0.24195972347460173,0.16793715599886302
17,0.24496543432521792,0.17034031887128867
18,0.24426410179340746,0.16961678596346158
19,0.24246067528303777,0.16912581720457892
20,0.24236048492135057,0.16904829582159744
