epoch,wer,cer
1,1.0,0.8822450192511434
2,1.0,0.8822708597121373
3,1.0,0.8822708597121373
4,1.0,0.8822708597121373
5,1.0,0.8822708597121373
6,1.0,0.8822450192511434
7,1.0,0.8822450192511434
8,1.0,0.8822450192511434
9,1.0,0.8822450192511434
10,0.9769562168119427,0.8136385953125403
11,0.9316701733293257,0.7700457376159591
12,0.8944995491433724,0.7329646760898214
13,0.8764652840396754,0.7005348975425721
14,0.8415990381725278,0.6718003049174397
15,0.8395952309387837,0.6578981369027623
16,0.8311792405570584,0.6489314969379054
17,0.8255685803025749,0.6412568800227396
18,0.8183548742610961,0.6302746841003644
19,0.8161506863039776,0.6306881314762656
20,0.8165514477507264,0.6307139719372593
