epoch,wer,cer
1,0.9828674481514879,0.7933279929713946
2,0.7326921150185353,0.42980438771027674
3,0.3861336539424907,0.21496679500762295
4,0.24496543432521792,0.14439649603348922
5,0.20118224626790904,0.1215535285149487
6,0.1633102895501453,0.0981937517765317
7,0.1620078148482116,0.09855551823044523
8,0.1393647931069031,0.08576449003850228
9,0.13786193768159502,0.08622961833639112
10,0.13956517383027753,0.0852476808186258
11,0.12433623885382226,0.07914933202408331
12,0.12423604849213506,0.07705625468358356
13,0.11892595932271316,0.07677200961265149
14,0.11872557859933874,0.07491149642109615
15,0.11481815449353772,0.07333522830047288
16,0.11381625087666566,0.07442052766221349
17,0.11381625087666566,0.07416212305227525
18,0.11231339545135757,0.07302514276854699
19,0.11511872557859934,0.07374867567637407
20,0.11411682196172729,0.07387787798134318
